filename,identity,confidence,state,mask,time_ms
0010efd2003d4761ac030d74cfc5a889.jpg,Unknown,79.3,SEARCHING,False,18522.6
0076b09e50754f7db25ac50b3af6daa2.jpg,zhangyixing,70.17,RECOGNIZED,False,8004.2
01034cc9336a4804a8cbb79a9d40e5a9.jpg,004767,69.42,VERIFYING,False,43.8
010702be06c04d788f1eb7d1279983a3.jpg,004693,69.69,VERIFYING,False,17396.3
013402a842464e538fc925ac0cd68ab3.jpg,Unknown,63.96,SEARCHING,False,17021.6
0181e2fd2652436e8e36bfa3f66fac41.jpg,NO_FACE,0.0,NO_FACE,False,0.0
01b12912cbf648d6a9ad65904daa8217.jpg,004227,70.04,VERIFYING,False,42.9
01f926df5f524adc90d23cd5eec5b6df.jpg,NO_FACE,0.0,NO_FACE,False,0.0
0223f6798bd94b54b9a5e7f270d3f563.jpg,004906,68.94,VERIFYING,False,32.7
023e6d28acde41c6b1b2192141223424.jpg,NO_FACE,0.0,NO_FACE,False,0.0
02480d45b59d4616b1e48cc49ffd1165.jpg,004778,69.04,VERIFYING,False,39.3
028e6b92ecf8457f8e1e1ac9e7ee0349.jpg,004510,68.44,VERIFYING,False,17137.6
02902b4167344fc28d39b42bdca7d557.jpg,NO_FACE,0.0,NO_FACE,False,0.0
02a8f9eb040e48be8afa48dd343796cb.jpg,tangyuzhe,69.58,VERIFYING,False,17156.6
02b6905b93ae47e38682feec0c132030.jpg,jindong,70.05,VERIFYING,False,57.2
02e8a7ec75024a8dbf4d10f5e0cda04d.jpg,NO_FACE,0.0,NO_FACE,False,0.0
0303fcd220ef4d26a7ffe7c53bea2d3f.jpg,NO_FACE,0.0,NO_FACE,False,0.0
0361398c69944f76baf532d16afc2587.jpg,004113,68.15,RECOGNIZED,False,57.4
039c930e8a40438390751e574d0be8dc.jpg,004905,67.61,VERIFYING,False,46.1
03adc02022a44d05b607201e2f9256cc.jpg,004903,69.55,VERIFYING,False,39.4
03df838fd36b42caabb4d20948ff8ba7.jpg,NO_FACE,0.0,NO_FACE,False,0.0
0494a21f04ae4a9c876ac9d5908dda21.jpg,xiena,65.39,VERIFYING,False,74.4
04e280aebb5d401bb6ae3f20e573728d.jpg,chenweiting,68.27,VERIFYING,False,64.7
04ecbdb11eb74db8ae0f125c1217fd2f.jpg,NO_FACE,0.0,NO_FACE,False,0.0
04f0a8b3d19e48828b278d14f2948c4f.jpg,baobeier,67.11,RECOGNIZED,False,37.6
0537c44d6fe64a1880f84732a97e9e7e.jpg,004903,69.87,VERIFYING,False,42.9
05601fd8db1b4fe8bc2e257a177844db.jpg,NO_FACE,0.0,NO_FACE,False,0.0
0566997125054ba8aa9d325ce5ea8be8.jpg,chenguanxi,68.61,RECOGNIZED,False,57.3
0572f1e04f704a63b15042295ad4f619.jpg,004773,67.46,VERIFYING,False,54.9
0575b9994dee40b280e74e1a74616225.jpg,wangjie,67.06,VERIFYING,False,38.9
05792b706f3b4a6bbacd0eb54bcdc132.jpg,NO_FACE,0.0,NO_FACE,False,0.0
058c8b3881a748b69c99a9147fffec3c.jpg,songqian,68.02,VERIFYING,False,53.3
0590b194357d4d5c85924ecf2c351867.jpg,liuhaoran,70.34,VERIFYING,False,44.5
05b3508ace6e4833bb6239914a4f0f1e.jpg,004815,71.06,VERIFYING,False,46.1
05b67b9ae982442394d894c5740114fd.jpg,NO_FACE,0.0,NO_FACE,False,0.0
05c1d56ced1345f1826f4d09ba781834.jpg,NO_FACE,0.0,NO_FACE,False,0.0
060ca89738ad4488843dbf4ac588dc3b.jpg,NO_FACE,0.0,NO_FACE,False,0.0
062d9eab2ebe4d738fab633f1ffe2f7b.jpg,wenjunhui,67.88,VERIFYING,False,51.8
064fecb5d43a4ed992dcb881d51e2a85.jpg,004996,65.68,VERIFYING,False,41.8
0662fedfd4cc4bc2a610f871e203c1a3.jpg,panyueming,67.56,VERIFYING,False,17287.2
0696db44656d4a8ca2f8a7e38c833fcd.jpg,xiena,68.4,VERIFYING,False,56.4
06e6a23f374f4f68ac7b6d5bcb6b2487.jpg,NO_FACE,0.0,NO_FACE,False,0.0
07106161bad34dafb6ae27d945c8dc70.jpg,004903,69.45,VERIFYING,False,34.9
07286f3906234951aa6e7c9972e305d9.jpg,NO_FACE,0.0,NO_FACE,False,0.0
07551f9122af4d7299aff7c1f64c57d4.jpg,zhangzhenyue,68.53,VERIFYING,False,45.4
076bd1d3277e44bd9009b875d661e5bc.jpg,004235,68.91,VERIFYING,False,41.1
07922c7b04924adca8aec5a35d7546d9.png,NO_FACE,0.0,NO_FACE,False,0.0
07ccde0d90094b08940ae3a136706a17.jpg,NO_FACE,0.0,NO_FACE,False,0.0
082b2ff25cc8493ab4b96aa7ed140f5e.jpg,Unknown,68.41,SEARCHING,False,26.9
083cad20ebc44c0da682f74055380ce0.jpg,NO_FACE,0.0,NO_FACE,False,0.0
085417d675844ffe8e59958df5022e3b.jpg,NO_FACE,0.0,NO_FACE,False,0.0
0857c6c352c749b496adbc0cb482b41f.jpg,004648,69.02,VERIFYING,False,34.0
085bc53731ff47f296feab835a5c26a2.png,Unknown,95.0,SEARCHING,False,31.2
088ffa0ab9784d8cbcaf24d961216827.jpg,xiena,72.04,VERIFYING,False,49.9
08cc2c3a15ce4a2c84a2325733677171.jpeg,004903,74.33,VERIFYING,False,44.1
08dfb0bdd506440a9f4dc10eb70ead18.jpg,NO_FACE,0.0,NO_FACE,False,0.0
08eed4f7b38947e3b2ea182762ae770b.jpg,004903,74.74,VERIFYING,False,43.3
090987f6f9aa4707b2df9ea05daf43b0.jpg,panyueming,67.74,VERIFYING,False,49.6
09aa802068b34c159448ac767503536e.jpg,004510,68.81,VERIFYING,False,34.5
09b2cd7a0b314324b30ac88a846d54ea.jpg,NO_FACE,0.0,NO_FACE,False,0.0
09b492d2c06a43dcbfbecc0cdbdf30bd.jpg,songqian,69.7,VERIFYING,False,44.0
09c3bcb76a94497f91860d8b81b3b922.jpg,wangjie,67.68,VERIFYING,False,35.9
09f1560cb8ba4107825e0d5c0b09c609.jpg,NO_FACE,0.0,NO_FACE,False,0.0
0a25cba7293d4f4dbe3019383ee0072b.jpg,004510,69.4,VERIFYING,False,67.9
0a2ae9984e2f4491a6891869df8685f9.jpg,songqian,71.14,VERIFYING,False,63.6
0a3162ff082343a3b2aa6ffa4a1def03.jpg,NO_FACE,0.0,NO_FACE,False,0.0
0a3ee1892a614d4e96311b787a22db8f.png,wangyu,67.62,VERIFYING,False,38.9
0a644593271d4621bd3f2cd4174d3484.jpg,NO_FACE,0.0,NO_FACE,False,0.0
0a6c262d496c420187bc750a850c4843.jpg,Unknown,74.9,SEARCHING,False,31.5
0a9f4519b0a54e21bb499e9df1762cb6.jpg,004190,66.35,VERIFYING,False,41.5
0ac2675240094348947dbdbaf503fd41.jpg,NO_FACE,0.0,NO_FACE,False,0.0
0ad5847d4e434fedaa1c1b32ab9fcb98.jpg,songqian,73.57,VERIFYING,False,58.7
0ae31c16c6ea4b778ef5cfa6cdfc9d07.jpg,pengchuyue,65.02,VERIFYING,False,66.2
0ae39aeb8aad4c7f911e3ea3212ffeba.jpg,004672,69.65,VERIFYING,False,50.5
0b7f06c7cd154706bc18e24622d1a175.jpg,wangjunkai,70.81,VERIFYING,False,39.0
0b8843bb06194ff4a2ba24bebb118e2f.jpg,004496,68.59,VERIFYING,False,44.5
0ba40409f50f472796f5dbbc480c9bda.jpg,wangjunkai,71.12,VERIFYING,False,49.4
0bcd0907158740649556aec4e5a25c3e.jpg,Unknown,95.0,SEARCHING,False,34.6
0be68d8b41844fb7b0239adcf5c9ed85.jpg,004903,73.43,VERIFYING,False,36.2
0bf24270f3be43e3b875cb44988e819f.jpg,songqian,75.08,VERIFYING,False,44.6
0c0aecdd1e20440eaa0b80a29dd1563c.jpg,chenfarong,69.59,VERIFYING,False,48.6
0c27b161ded04cd984e7e51f514f8e5c.jpg,tangyuzhe,68.88,VERIFYING,False,35.6
0c2cce6addc445eb82adb6a68de075df.jpg,NO_FACE,0.0,NO_FACE,False,0.0
0c38c3e8f99043e1a0ead5cdc355b120.jpg,wangjunkai,73.16,VERIFYING,False,43.6
0c5af28c6eed4758818d76e76a455ed4.jpg,NO_FACE,0.0,NO_FACE,False,0.0
0c5b63967bd14218a68e5da4f2707e81.jpg,Unknown,76.12,SEARCHING,False,30.7
0c771af55b514c01b5e61f165412d173.jpg,Unknown,87.6,SEARCHING,False,17.7
0c777b0d64e741149e416e01f393b876.jpg,004537,69.79,VERIFYING,False,45.4
